Date,Open,High,Low,Close*,Adj. close**,Volume
03/10/1929,28.95,28.95,28.95,28.95,28.95,-
02/10/1929,30.2,30.2,30.2,30.2,30.2,-
01/10/1929,29.98,29.98,29.98,29.98,29.98,-
30/09/1929,30.16,30.16,30.16,30.16,30.16,-
27/09/1929,30.27,30.27,30.27,30.27,30.27,-
26/09/1929,31.13,31.13,31.13,31.13,31.13,-
25/09/1929,30.85,30.85,30.85,30.85,30.85,-
24/09/1929,30.8,30.8,30.8,30.8,30.8,-
23/09/1929,31.38,31.38,31.38,31.38,31.38,-
20/09/1929,31.39,31.39,31.39,31.39,31.39,-
19/09/1929,31.73,31.73,31.73,31.73,31.73,-
18/09/1929,31.68,31.68,31.68,31.68,31.68,-
17/09/1929,31.6,31.6,31.6,31.6,31.6,-
16/09/1929,31.86,31.86,31.86,31.86,31.86,-
13/09/1929,31.38,31.38,31.38,31.38,31.38,-
12/09/1929,31.17,31.17,31.17,31.17,31.17,-
11/09/1929,31.53,31.53,31.53,31.53,31.53,-
10/09/1929,31.1,31.1,31.1,31.1,31.1,-
09/09/1929,31.67,31.67,31.67,31.67,31.67,-
06/09/1929,31.83,31.83,31.83,31.83,31.83,-
05/09/1929,31.02,31.02,31.02,31.02,31.02,-
04/09/1929,31.72,31.72,31.72,31.72,31.72,-
03/09/1929,31.82,31.82,31.82,31.82,31.82,-
30/08/1929,31.71,31.71,31.71,31.71,31.71,-
29/08/1929,31.29,31.29,31.29,31.29,31.29,-
28/08/1929,30.99,30.99,30.99,30.99,30.99,-
27/08/1929,31.05,31.05,31.05,31.05,31.05,-
26/08/1929,31.07,31.07,31.07,31.07,31.07,-
23/08/1929,31.09,31.09,31.09,31.09,31.09,-
22/08/1929,30.79,30.79,30.79,30.79,30.79,-
21/08/1929,30.55,30.55,30.55,30.55,30.55,-
20/08/1929,30.68,30.68,30.68,30.68,30.68,-
19/08/1929,30.5,30.5,30.5,30.5,30.5,-
16/08/1929,30.22,30.22,30.22,30.22,30.22,-
15/08/1929,29.67,29.67,29.67,29.67,29.67,-
14/08/1929,29.62,29.62,29.62,29.62,29.62,-
13/08/1929,29.53,29.53,29.53,29.53,29.53,-
12/08/1929,29.27,29.27,29.27,29.27,29.27,-
09/08/1929,28.38,28.38,28.38,28.38,28.38,-
08/08/1929,29.47,29.47,29.47,29.47,29.47,-
07/08/1929,29.13,29.13,29.13,29.13,29.13,-
06/08/1929,29.43,29.43,29.43,29.43,29.43,-
05/08/1929,29.54,29.54,29.54,29.54,29.54,-
02/08/1929,29.56,29.56,29.56,29.56,29.56,-
01/08/1929,29.08,29.08,29.08,29.08,29.08,-
31/07/1929,28.88,28.88,28.88,28.88,28.88,-
30/07/1929,28.5,28.5,28.5,28.5,28.5,-
29/07/1929,28.18,28.18,28.18,28.18,28.18,-
26/07/1929,28.66,28.66,28.66,28.66,28.66,-
25/07/1929,28.77,28.77,28.77,28.77,28.77,-
24/07/1929,28.64,28.64,28.64,28.64,28.64,-
23/07/1929,28.83,28.83,28.83,28.83,28.83,-
22/07/1929,28.43,28.43,28.43,28.43,28.43,-
19/07/1929,28.76,28.76,28.76,28.76,28.76,-
18/07/1929,28.66,28.66,28.66,28.66,28.66,-
17/07/1929,28.72,28.72,28.72,28.72,28.72,-
16/07/1929,28.65,28.65,28.65,28.65,28.65,-
15/07/1929,28.45,28.45,28.45,28.45,28.45,-
12/07/1929,28.57,28.57,28.57,28.57,28.57,-
11/07/1929,28.26,28.26,28.26,28.26,28.26,-
10/07/1929,28.2,28.2,28.2,28.2,28.2,-
09/07/1929,28.28,28.28,28.28,28.28,28.28,-
08/07/1929,28.37,28.37,28.37,28.37,28.37,-
05/07/1929,28.32,28.32,28.32,28.32,28.32,-
03/07/1929,28.18,28.18,28.18,28.18,28.18,-
02/07/1929,28.06,28.06,28.06,28.06,28.06,-
01/07/1929,27.77,27.77,27.77,27.77,27.77,-
28/06/1929,27.41,27.41,27.41,27.41,27.41,-
27/06/1929,27.11,27.11,27.11,27.11,27.11,-
26/06/1929,27.06,27.06,27.06,27.06,27.06,-
25/06/1929,26.9,26.9,26.9,26.9,26.9,-
24/06/1929,26.62,26.62,26.62,26.62,26.62,-
21/06/1929,26.62,26.62,26.62,26.62,26.62,-
20/06/1929,26.47,26.47,26.47,26.47,26.47,-
19/06/1929,26.32,26.32,26.32,26.32,26.32,-
18/06/1929,26.42,26.42,26.42,26.42,26.42,-
17/06/1929,26.41,26.41,26.41,26.41,26.41,-
14/06/1929,25.93,25.93,25.93,25.93,25.93,-
13/06/1929,25.84,25.84,25.84,25.84,25.84,-
12/06/1929,25.45,25.45,25.45,25.45,25.45,-
11/06/1929,25.43,25.43,25.43,25.43,25.43,-
10/06/1929,25.27,25.27,25.27,25.27,25.27,-
07/06/1929,25.53,25.53,25.53,25.53,25.53,-
06/06/1929,25.64,25.64,25.64,25.64,25.64,-
05/06/1929,25.59,25.59,25.59,25.59,25.59,-
04/06/1929,25.64,25.64,25.64,25.64,25.64,-
03/06/1929,25.27,25.27,25.27,25.27,25.27,-
31/05/1929,24.83,24.83,24.83,24.83,24.83,-
29/05/1929,24.62,24.62,24.62,24.62,24.62,-
28/05/1929,24.59,24.59,24.59,24.59,24.59,-
27/05/1929,24.2,24.2,24.2,24.2,24.2,-
24/05/1929,25.12,25.12,25.12,25.12,25.12,-
23/05/1929,25.31,25.31,25.31,25.31,25.31,-
22/05/1929,24.76,24.76,24.76,24.76,24.76,-
21/05/1929,25.7,25.7,25.7,25.7,25.7,-
20/05/1929,25.39,25.39,25.39,25.39,25.39,-
17/05/1929,26.09,26.09,26.09,26.09,26.09,-
16/05/1929,25.97,25.97,25.97,25.97,25.97,-
15/05/1929,25.84,25.84,25.84,25.84,25.84,-
14/05/1929,25.95,25.95,25.95,25.95,25.95,-
13/05/1929,25.64,25.64,25.64,25.64,25.64,-
10/05/1929,26.34,26.34,26.34,26.34,26.34,-
09/05/1929,26.02,26.02,26.02,26.02,26.02,-
08/05/1929,26.18,26.18,26.18,26.18,26.18,-
07/05/1929,26.07,26.07,26.07,26.07,26.07,-
06/05/1929,26.32,26.32,26.32,26.32,26.32,-
03/05/1929,26.37,26.37,26.37,26.37,26.37,-
02/05/1929,26.11,26.11,26.11,26.11,26.11,-
01/05/1929,25.99,25.99,25.99,25.99,25.99,-
30/04/1929,25.94,25.94,25.94,25.94,25.94,-
