Date,Open,High,Low,Close,Adj Close**,Volume
06/02/1987,281.16,281.79,279.87,280.04,280.04,184100000.00
05/02/1987,279.64,282.26,278.66,281.16,281.16,256700000.00
04/02/1987,275.99,279.65,275.35,279.64,279.64,222400000.00
03/02/1987,276.45,277.83,275.84,275.99,275.99,198100000.00
02/02/1987,274.08,277.35,273.16,276.45,276.45,177400000.00
30/01/1987,274.24,274.24,271.38,274.08,274.08,163400000.00
29/01/1987,275.4,276.85,272.54,274.24,274.24,205300000.00
28/01/1987,273.75,275.71,273.03,275.4,275.4,195800000.00
27/01/1987,269.61,274.31,269.61,273.75,273.75,192300000.00
26/01/1987,270.1,270.4,267.73,269.61,269.61,138900000.00
23/01/1987,273.91,280.96,268.41,270.1,270.1,302400000.00
22/01/1987,267.84,274.05,267.32,273.91,273.91,188700000.00
21/01/1987,269.04,270.87,267.35,267.84,267.84,184200000.00
20/01/1987,269.34,271.03,267.65,269.04,269.04,224800000.00
19/01/1987,266.26,269.34,264,269.34,269.34,162800000.00
16/01/1987,265.46,267.24,264.31,266.28,266.28,218400000.00
15/01/1987,262.65,266.68,262.64,265.49,265.49,253100000.00
14/01/1987,259.95,262.72,259.62,262.64,262.64,214200000.00
13/01/1987,260.3,260.45,259.21,259.95,259.95,170900000.00
12/01/1987,258.72,261.36,257.92,260.3,260.3,184200000.00
09/01/1987,257.26,259.2,256.11,258.73,258.73,193000000.00
08/01/1987,255.36,257.28,254.97,257.28,257.28,194500000.00
07/01/1987,252.78,255.72,252.65,255.33,255.33,190900000.00
06/01/1987,252.2,253.99,252.14,252.78,252.78,189300000.00
05/01/1987,246.45,252.57,246.45,252.19,252.19,181900000.00
02/01/1987,242.17,246.45,242.17,246.45,246.45,91880000.00
31/12/1986,243.37,244.03,241.28,242.17,242.17,139200000.00
30/12/1986,244.66,244.67,243.04,243.37,243.37,126200000.00
29/12/1986,246.9,246.92,244.31,244.67,244.67,99800000.00
26/12/1986,246.75,247.09,246.73,246.92,246.92,48860000.00
24/12/1986,246.34,247.22,246.02,246.75,246.75,95410000.00
23/12/1986,248.75,248.75,245.85,246.34,246.34,188700000.00
22/12/1986,249.73,249.73,247.45,248.75,248.75,157600000.00
19/12/1986,246.79,249.96,245.89,249.73,249.73,244700000.00
18/12/1986,247.56,247.81,246.45,246.78,246.78,155400000.00
17/12/1986,250.01,250.04,247.19,247.56,247.56,148800000.00
16/12/1986,248.21,250.04,247.4,250.04,250.04,157000000.00
15/12/1986,247.31,248.23,244.92,248.21,248.21,148200000.00
12/12/1986,248.17,248.31,247.02,247.35,247.35,126600000.00
11/12/1986,250.97,250.98,247.15,248.17,248.17,136000000.00
10/12/1986,249.28,251.53,248.94,250.96,250.96,139700000.00
09/12/1986,251.16,251.27,249.25,249.28,249.28,128700000.00
08/12/1986,251.16,252.36,248.82,251.16,251.16,159000000.00
05/12/1986,253.05,253.89,250.71,251.17,251.17,139800000.00
04/12/1986,253.85,254.42,252.88,253.04,253.04,156900000.00
03/12/1986,254,254.87,253.24,253.85,253.85,200100000.00
02/12/1986,249.06,254,249.05,254,254,230400000.00
01/12/1986,249.22,249.22,245.72,249.05,249.05,133800000.00
